|Объем памяти комплекта|Кол-во планок в комплекте|Форм-фактор памяти|Тип памяти|Тактовая частота|Пропускная способность|CAS-латентность|Схема таймингов памяти|Рабочее напряжение|Тип охлаждения|Профиль планки|Дополнительно|Маркировка производителя|Высота планки|Ранг памяти|Синхронизация подсветки|Код EAN / UPS / GTIN
G.Skill Ripjaws SO-DIMM DDR4 1x16Gb F4-3200C22S-16GRS|16 ГБ|1 шт|SO-DIMM|DDR4|3200 МГц|25600 МБ/с|CL22|22-22-22|1.2 В|без охлаждения|стандартный||||||
Kingston Fury Renegade DDR5 1x16Gb KF572C38RS-16|16 ГБ|1 шт|DIMM|DDR5|7200 МГц|57600 МБ/с|CL38|38-44-44|1.45 В|радиатор|стандартный|серия для разгона (overclocking), поддержка XMP|KF572C38RS-16, KF572C38RW-16||||0740617331462, 0740617333572
OCPC PISTA DDR5 2x8Gb MMPT2K16GD548C40T|16 ГБ|2 шт|DIMM|DDR5|4800 МГц|38400 МБ/с|CL40|40-40-40-77|1.1 В|радиатор|стандартный|серия для разгона (overclocking), поддержка XMP, подсветка|||||0781930229623
Crucial DDR4 SO-DIMM 1x8Gb CT8G4S266M|8 ГБ|1 шт|SO-DIMM|DDR4|2666 МГц|21300 МБ/с|CL19|19-19-19|1.2 В|без охлаждения|стандартный||||||0649528820945
Crucial DDR4 SO-DIMM 1x8Gb CT8G4SFS824A|8 ГБ|1 шт|SO-DIMM|DDR4|2400 МГц|19200 МБ/с|CL17|17-17-17|1.2 В|без охлаждения|стандартный||||одноранговая||0649528776334
Micron DDR4 1x64Gb MTA36ASF8G72PZ-3G2B2R|64 ГБ|1 шт|DIMM|DDR4|3200 МГц|25600 МБ/с|CL22|22-22-22|1.2 В|без охлаждения|стандартный|поддержка буферизации (Registered), поддержка ECC|||двухранговая||0649528821683, 0649528920133
AFOX DDR4 1x16Gb AFLD416PS1C|16 ГБ|1 шт|DIMM|DDR4|3200 МГц|25600 МБ/с|CL16||1.2 В|без охлаждения|стандартный||||||4897033782272
Crucial Ballistix DDR4 2x8Gb BL2K8G30C15U4B|16 ГБ|2 шт|DIMM|DDR4|3000 МГц|24000 МБ/с|CL15|15-16-16-35|1.35 В|радиатор|стандартный|серия для разгона (overclocking), поддержка XMP|BL2K8G30C15U4B, BL2K8G30C15U4R, BL2K8G30C15U4W|41 мм|||
G.Skill Ripjaws SO-DIMM DDR4 1x16Gb F4-3200C18S-16GRS|16 ГБ|1 шт|SO-DIMM|DDR4|3200 МГц|25600 МБ/с|CL18|18-18-18-43|1.2 В|без охлаждения|стандартный||||||
Crucial Value DDR3 1x16Gb CT16G3ERSLD4160B|16 ГБ|1 шт|DIMM|DDR3|1600 МГц|12800 МБ/с|CL11|11-11-11|1.35 В|без охлаждения|стандартный|поддержка буферизации (Registered), поддержка ECC|||||
Kingston Fury Renegade DDR4 1x16Gb KF430C15RB1\/16|16 ГБ|1 шт|DIMM|DDR4|3000 МГц|24000 МБ/с|CL15|15-17-17|1.35 В|радиатор|стандартный|серия для разгона (overclocking), поддержка XMP||42.2 мм|двухранговая||
Corsair Vengeance RGB DDR5 2x32Gb CMH64GX5M2B5200Z40|64 ГБ|2 шт|DIMM|DDR5|5200 МГц|41600 МБ/с|CL40|40-40-40-77|1.25 В|радиатор|стандартный|серия для разгона (overclocking), поддержка XMP, поддержка EXPO||||Corsair iCUE|
Geil DDR4 SO-DIMM 1x8Gb GS48 ГБ2666C19S|8 ГБ|1 шт|SO-DIMM|DDR4|2666 МГц|21300 МБ/с|CL19|19-19-19-43|1.2 В|без охлаждения|стандартный||||||
Geil DDR4 SO-DIMM 1x16Gb GS416 ГБ3200C22S|16 ГБ|1 шт|SO-DIMM|DDR4|3200 МГц|25600 МБ/с|CL22|22-22-22-52|1.2 В|без охлаждения|стандартный||||||
Micron DDR4 1x8Gb MTA9ASF1G72PZ-2G9|8 ГБ|1 шт|DIMM|DDR4|2933 МГц|23400 МБ/с|CL21|21-21-21|1.2 В|без охлаждения|стандартный|поддержка буферизации (Registered), поддержка ECC|MTA9ASF1G72PZ-2G9E1, MTA9ASF1G72PZ-2G9J1, MTA9ASF1G72PZ-2G9J3||одноранговая||0649528928986, 8592978245504
Geil Value DDR3 GN38 ГБ1600C11S|8 ГБ|1 шт|DIMM|DDR3|1600 МГц|12800 МБ/с|CL11|11-11-11-30|1.5 В|без охлаждения|стандартный||||||
G.Skill Value DDR4 1x8Gb F4-2400C15S-8GNS|8 ГБ|1 шт|DIMM|DDR4|2400 МГц|19200 МБ/с|CL15|15-15-15-35|1.2 В|без охлаждения|стандартный|серия для разгона (overclocking), поддержка XMP|||||
Transcend JetRam DDR4 1x32Gb JM2666HLE-32G|32 ГБ|1 шт|DIMM|DDR4|2666 МГц|21300 МБ/с|CL19|19-19-19|1.2 В|без охлаждения|стандартный||||двухранговая||
OCPC PISTA DDR5 2x16Gb MMPT2K32GD562C32T|32 ГБ|2 шт|DIMM|DDR5|6200 МГц|49600 МБ/с|CL32|32-38-38-76|1.35 В|радиатор|стандартный|серия для разгона (overclocking), поддержка XMP, подсветка|MMPT2K32GD562C32BL, MMPT2K32GD562C32T||||0633710588959, 0633710588973
Corsair Vengeance RGB DDR5 2x24Gb CMH48GX5M2B7000C40|48 ГБ|2 шт|DIMM|DDR5|7000 МГц|25600 МБ/с|CL40|40-52-52-114|1.4 В|радиатор|стандартный|серия для разгона (overclocking), поддержка XMP, подсветка||56 мм||Corsair iCUE|0840006667094
Micron DDR4 1x64Gb MTA36ASF8G72PZ-2G9B2R|64 ГБ|1 шт|DIMM|DDR4|2933 МГц|23400 МБ/с|CL21|21-21-21|1.2 В|без охлаждения|стандартный|поддержка буферизации (Registered), поддержка ECC|||двухранговая||0649528821386
Crucial Ballistix RGB DDR4 1x16Gb BL16G32C16U4RL|16 ГБ|1 шт|DIMM|DDR4|3200 МГц|25600 МБ/с|CL16|16-18-18-36|1.35 В|радиатор|стандартный|серия для разгона (overclocking), поддержка XMP, подсветка|BL16G32C16U4BL, BL16G32C16U4RL, BL16G32C16U4WL|39.2 мм||multi compatibility|0649528824295
A-Data XPG Hunter DDR5 1x8Gb AX5U5200C388G-SHTBK|8 ГБ|1 шт|DIMM|DDR5|5200 МГц|41600 МБ/с|CL38|38-38-38|1.25 В|радиатор|стандартный|серия для разгона (overclocking), поддержка XMP||33 мм|||
OCPC PISTA DDR5 2x16Gb MMPT2K32GD560C32T|32 ГБ|2 шт|DIMM|DDR5|6000 МГц|48000 МБ/с|CL32|32-38-38-76|1.35 В|радиатор|стандартный|серия для разгона (overclocking), поддержка XMP, подсветка|MMPT2K32GD560C32BL, MMPT2K32GD560C32T||||0633710588966, 0633710588980
A-Data XPG Hunter DDR5 1x16Gb AX5U5200C3816G-SHTBK|16 ГБ|1 шт|DIMM|DDR5|5200 МГц|41600 МБ/с|CL38|38-38-38|1.25 В|радиатор|стандартный|серия для разгона (overclocking), поддержка XMP||33 мм|||4711085937490
Patriot Memory Signature DDR3 1x4Gb PSD34G160082|4 ГБ|1 шт|DIMM|DDR3|1600 МГц|12800 МБ/с|CL11|11-11-11|1.5 В|без охлаждения|стандартный||||||
AMD R9 DDR4 SO-DIMM 1x8Gb R948G3000S2S-U|8 ГБ|1 шт|SO-DIMM|DDR4|3000 МГц|24000 МБ/с|CL16|16-18-18-35|1.2 В|без охлаждения|стандартный||||||
Kingston Fury Renegade DDR4 1x32Gb KF436C18RB\/32|32 ГБ|1 шт|DIMM|DDR4|3600 МГц|28800 МБ/с|CL18|18-22-22|1.35 В|радиатор|стандартный|серия для разгона (overclocking), поддержка XMP||42.2 мм|двухранговая||
G.Skill Value DDR4 1x8Gb F4-2666C19S-8GNT|8 ГБ|1 шт|DIMM|DDR4|2666 МГц|21300 МБ/с|CL19|19-19-19-43|1.2 В|без охлаждения|стандартный||||||
Patriot Memory Signature Premium 1x16Gb PSP416G32002H1|16 ГБ|1 шт|DIMM|DDR4|3200 МГц|25600 МБ/с|CL22|22-22-22-52|1.2 В|радиатор|стандартный|||37 мм|двухранговая||0814914027134
Micron DDR4 1x8Gb MTA9ASF1G72PZ-2G9E1R|8 ГБ|1 шт|DIMM|DDR4|2933 МГц|23400 МБ/с|CL21|21-21-21|1.2 В|без охлаждения|стандартный|поддержка буферизации (Registered), поддержка ECC|||одноранговая||8592978245504
Micron DDR4 1x8Gb MTA9ASF1G72PZ-3G2R|8 ГБ|1 шт|DIMM|DDR4|3200 МГц|25600 МБ/с|CL22|22-22-22|1.2 В|без охлаждения|стандартный|поддержка буферизации (Registered), поддержка ECC|||одноранговая||0649528929082
HyperX Fury Black DDR4 2x32Gb HX430C16FB3K2\/64|64 ГБ|2 шт|DIMM|DDR4|3000 МГц|24000 МБ/с|CL16|16-19-19|1.35 В|радиатор|стандартный|серия для разгона (overclocking), поддержка XMP||34.1 мм|||
Corsair Vengeance LPX DDR4 2x8Gb CMK16GX4M2A2666C16|16 ГБ|2 шт|DIMM|DDR4|2666 МГц|21300 МБ/с|CL16|16-18-18-35|1.2 В|радиатор|стандартный|серия для разгона (overclocking), поддержка XMP|CMK16GX4M2A2666C16, CMK16GX4M2A2666C16B, CMK16GX4M2A2666C16R, CMK16GX4M2A2666C16W|33 мм|одноранговая||0843591069618, 0843591069625, 0843591088367
Team Group Xtreem ARGB White DDR4 2x32Gb TF13D464G3600HC18JDC01|64 ГБ|2 шт|DIMM|DDR4|3600 МГц|28800 МБ/с|CL18|18-22-22-42|1.35 В|радиатор|стандартный|серия для разгона (overclocking), поддержка XMP, подсветка||48.7 мм||multi compatibility|
Team Group T-FORCE Delta RGB DDR5 2x24Gb FF3D548G7200HC34ADC01|48 ГБ|2 шт|DIMM|DDR5|7200 МГц|57600 МБ/с|CL34|34-42-42-84|1.4 В|радиатор|стандартный|серия для разгона (overclocking), поддержка XMP, подсветка||||multi compatibility|
OCPC PISTA DDR5 2x16Gb MMPT2K32GD556C36T|32 ГБ|2 шт|DIMM|DDR5|5600 МГц|44800 МБ/с|CL36|36-38-38-76|1.25 В|радиатор|стандартный|серия для разгона (overclocking), поддержка XMP, подсветка|MMPT2K32GD556C36BL, MMPT2K32GD556C36T||||0781930229517, 0781930229883
Corsair Vengeance RGB Pro DDR4 2x8Gb CMW16GX4M2D3600C16|16 ГБ|2 шт|DIMM|DDR4|3600 МГц|28800 МБ/с|CL16|16-19-19-36|1.35 В|радиатор|стандартный|серия для разгона (overclocking), поддержка XMP, подсветка||50.8 мм||Corsair iCUE|0840006637462
G.Skill Trident Z Royal DDR4 2x8Gb F4-3200C16D-16GTRG|16 ГБ|2 шт|DIMM|DDR4|3200 МГц|25600 МБ/с|CL16|16-18-18-38|1.35 В|радиатор|стандартный|серия для разгона (overclocking), поддержка XMP, подсветка|F4-3200C16D-16GTRG, F4-3200C16D-16GTRS|44 мм|||
Dell DDR4 1x32Gb AB614353|32 ГБ|1 шт|DIMM|DDR4|3200 МГц|25600 МБ/с|||1.2 В|без охлаждения|стандартный|поддержка буферизации (Registered), поддержка ECC|||двухранговая||5397184578636
Apacer FL DDR5 1x16Gb FL.16G2A.PTH|16 ГБ|1 шт|DIMM|DDR5|4800 МГц|38400 МБ/с|CL40||1.1 В|без охлаждения|стандартный|||31.25 мм|||4712389908292
Kingston Fury Beast DDR4 1x8Gb KF430C15BB\/8|8 ГБ|1 шт|DIMM|DDR4|3000 МГц|24000 МБ/с|CL15|15-17-17|1.35 В|радиатор|стандартный|серия для разгона (overclocking), поддержка XMP||34 мм|одноранговая||
Geil DDR4 SO-DIMM 1x4Gb GS44 ГБ2400C17SC|4 ГБ|1 шт|SO-DIMM|DDR4|2400 МГц|19200 МБ/с|CL17|17-17-17-39|1.2 В|без охлаждения|стандартный||GS44GB2400C17S, GS44GB2400C17SC||||
Kingston Fury Beast DDR5 RGB 1x16Gb KF556C40BBA-16|16 ГБ|1 шт|DIMM|DDR5|5600 МГц|44800 МБ/с|CL40|40-40-40|1.25 В|радиатор|стандартный|серия для разгона (overclocking), поддержка XMP, подсветка||42.23 мм|одноранговая|multi compatibility|
Kingston Fury Beast RGB DDR5 4x32Gb KF556C40BWAK4-128|128 ГБ|4 шт|DIMM|DDR5|5600 МГц|44800 МБ/с|CL40|40-40-40|1.25 В|радиатор|стандартный|серия для разгона (overclocking), поддержка XMP, подсветка|KF556C40BBAK4-128, KF556C40BWAK4-128|42.23 мм|двухранговая|multi compatibility|0740617335071, 0740617335170
G.Skill Trident Z RGB DDR4 4x32Gb F4-3200C16Q-128GTZR|128 ГБ|4 шт|DIMM|DDR4|3200 МГц|25600 МБ/с|CL16|16-18-18-38|1.35 В|радиатор|стандартный|серия для разгона (overclocking), поддержка XMP, подсветка||44 мм||multi compatibility|
Kingston Fury Beast RGB DDR4 2x32Gb KF436C18BBAK2\/64|64 ГБ|2 шт|DIMM|DDR4|3600 МГц|28800 МБ/с|CL18|18-22-22|1.35 В|радиатор|стандартный|серия для разгона (overclocking), поддержка XMP, подсветка||41.2 мм|двухранговая|multi compatibility|
Geil DDR4 SO-DIMM 1x4Gb GS44 ГБ2666C19S|4 ГБ|1 шт|SO-DIMM|DDR4|2666 МГц|21300 МБ/с|CL19|19-19-19-43|1.2 В|без охлаждения|стандартный||||||
Micron DDR4 1x32Gb MTA18ASF4G72PDZ-3G2|32 ГБ|1 шт|DIMM|DDR4|3200 МГц|25600 МБ/с|CL22|22-22-22|1.2 В|без охлаждения|стандартный|поддержка буферизации (Registered), поддержка ECC|MTA18ASF4G72PDZ-3G2B2, MTA18ASF4G72PDZ-3G2E1||двухранговая||0649528822352, 0649528822444, 0649528927057, 0649528929532, 4540395730428
G.Skill Ripjaws V DDR4 2x8Gb F4-2666C15D-16GVR|16 ГБ|2 шт|DIMM|DDR4|2666 МГц|21300 МБ/с|CL15|15-15-15-35|1.2 В|радиатор|стандартный|серия для разгона (overclocking), поддержка XMP|F4-2666C15D-16GVB, F4-2666C15D-16GVR, F4-2666C15D-16GVS|42 мм|двухранговая||4719692003430
Samsung DDR3 SO-DIMM 1x4Gb M471B5173EB0-YK0|4 ГБ|1 шт|SO-DIMM|DDR3|1600 МГц|12800 МБ/с|CL11|11-11-11|1.35 В|без охлаждения|стандартный||||||
KingSpec SO-DIMM DDR3 1x8Gb KS1600D3N13508G|8 ГБ|1 шт|SO-DIMM|DDR3|1600 МГц|12800 МБ/с|CL11||1.35 В|без охлаждения|стандартный|||30 мм|||
Geil DDR4 SO-DIMM 1x4Gb GS44 ГБ2666C19SC|4 ГБ|1 шт|SO-DIMM|DDR4|2666 МГц|21300 МБ/с|CL19|19-19-19-43|1.2 В|без охлаждения|стандартный||||||
Kingston Fury Impact DDR4 1x32Gb KF429S17IB\/32|32 ГБ|1 шт|SO-DIMM|DDR4|2933 МГц|23400 МБ/с|CL17|17-19-19|1.2 В|без охлаждения|стандартный|поддержка XMP|||двухранговая||
Team Group T-Force Delta RGB 2x16Gb TF3D432G3600HC18JDC01|32 ГБ|2 шт|DIMM|DDR4|3600 МГц|28800 МБ/с|CL18|18-22-22-42|1.35 В|радиатор|стандартный|серия для разгона (overclocking), поддержка XMP, подсветка|||||0765441651753
Kingston Fury Beast DDR5 RGB 1x8Gb KF548C38BBA-8|8 ГБ|1 шт|DIMM|DDR5|4800 МГц|38400 МБ/с|CL38|38-38-38|1.1 В|радиатор|стандартный|серия для разгона (overclocking), поддержка XMP, подсветка||42.23 мм|одноранговая|multi compatibility|
Crucial DDR4 SO-DIMM 1x8Gb CT8G4S24AM|8 ГБ|1 шт|SO-DIMM|DDR4|2400 МГц|19200 МБ/с|CL17|17-17-17|1.2 В|без охлаждения|стандартный||||||0649528783295
HyperX Fury Black DDR4 1x32Gb HX432C16FB3\/32|32 ГБ|1 шт|DIMM|DDR4|3200 МГц|25600 МБ/с|CL16|16-20-20|1.35 В|радиатор|стандартный|серия для разгона (overclocking), поддержка XMP||34.1 мм|||
G.Skill Ripjaws V DDR4 2x16Gb F4-4000C18D-32GVK|32 ГБ|2 шт|DIMM|DDR4|4000 МГц|32000 МБ/с|CL18|18-22-22-42|1.4 В|радиатор|стандартный|серия для разгона (overclocking), поддержка XMP||42 мм|двухранговая||4713294224149
Corsair Vengeance RGB Pro SL 2x16Gb CMH32GX4M2Z3600C18|32 ГБ|2 шт|DIMM|DDR4|3600 МГц|28800 МБ/с|CL18|18-22-22-42|1.35 В|радиатор|стандартный|серия для разгона (overclocking), поддержка XMP, подсветка||44 мм||Corsair iCUE|0840006632139
Micron DDR4 1x32Gb MTA36ASF4G72PZ-3G2|32 ГБ|1 шт|DIMM|DDR4|3200 МГц|25600 МБ/с|CL22|22-22-22|1.2 В|без охлаждения|стандартный|поддержка буферизации (Registered), поддержка ECC|MTA36ASF4G72PZ-3G2E7, MTA36ASF4G72PZ-3G2J1, MTA36ASF4G72PZ-3G2J3, MTA36ASF4G72PZ-3G2R1||двухранговая||0649528905468, 0649528927477
Corsair Vengeance LPX DDR4 2x32Gb CMK64GX4M2E3200C16|32 ГБ|2 шт|DIMM|DDR4|3200 МГц|25600 МБ/с|CL16|16-20-20-38|1.35 В|радиатор|стандартный|серия для разгона (overclocking), поддержка XMP||33 мм|||0840006619208
Kingston Fury Beast DDR5 RGB 2x32Gb KF552C36BBEAK2-64|64 ГБ|2 шт|DIMM|DDR5|5200 МГц|41600 МБ/с|CL36|36-38-38|1.25 В|радиатор|стандартный|серия для разгона (overclocking), поддержка XMP, поддержка EXPO, подсветка|KF552C36BBEAK2-64, KF552C36BWEAK2-64|42.23 мм|двухранговая|multi compatibility|0740617331967, 0740617333527
Team Group Xtreem ARGB White DDR4 1x16Gb TF13D416G3600HC18JDC01|16 ГБ|1 шт|DIMM|DDR4|3600 МГц|28800 МБ/с|CL18||1.35 В|радиатор|стандартный|серия для разгона (overclocking), поддержка XMP, подсветка||48.7 мм||multi compatibility|
G.Skill Ripjaws S5 DDR5 2x24Gb F5-6400J4048F24GX2-RS5K|48 ГБ|2 шт|DIMM|DDR5|6400 МГц|51200 МБ/с|CL40|40-48-48-102|1.35 В|радиатор|стандартный|серия для разгона (overclocking), поддержка XMP||33 мм|||
G.Skill Aegis DDR4 2x8Gb F4-2800C17D-16GIS|16 ГБ|2 шт|DIMM|DDR4|2800 МГц|22400 МБ/с|CL17|17-17-17-37|1.2 В|без охлаждения|стандартный|серия для разгона (overclocking), поддержка XMP||31.2 мм|||4719692010186
Crucial Basics SO-DIMM DDR4 1x16Gb CB16GS2666|16 ГБ|1 шт|SO-DIMM|DDR4|2666 МГц|21300 МБ/с|CL19|19-19-19|1.2 В|без охлаждения|стандартный||||||
Kingston Fury Renegade DDR4 2x32Gb KF436C18RBK2\/64|64 ГБ|2 шт|DIMM|DDR4|3600 МГц|28800 МБ/с|CL18|18-22-22|1.35 В|радиатор|стандартный|серия для разгона (overclocking), поддержка XMP||42.2 мм|двухранговая||0740617322705
Kingston Fury Beast RGB DDR4 4x32Gb KF432C16BBAK4\/128|128 ГБ|4 шт|DIMM|DDR4|3200 МГц|25600 МБ/с|CL16|16-20-20|1.35 В|радиатор|стандартный|серия для разгона (overclocking), поддержка XMP, подсветка||41.2 мм|двухранговая|multi compatibility|0740617319095
Crucial Ballistix DDR4 1x8Gb BL8G36C16U4R|8 ГБ|1 шт|DIMM|DDR4|3600 МГц|28800 МБ/с|CL16|16-18-18-38|1.35 В|радиатор|стандартный|серия для разгона (overclocking), поддержка XMP|BL8G36C16U4B, BL8G36C16U4R, BL8G36C16U4W|41 мм|||
