|Подключение|Профессиональная|DVI-D|DVI-I|DisplayPort|Макс. подключаемых мониторов|Охлаждение|Потребляемая мощность|Дополнительное питание|Занимаемых слотов|Длина видеокарты|Модель GPU|Объем памяти|Тип памяти|Разрядность шины|Частота работы GPU|Частота работы памяти|Техпроцесс|Макс. разрешение|Версия DirectX|Версия OpenGL|Потоковых процессоров|Версия потоковых процессоров|Текстурных блоков|HDMI|Кол-во  вентиляторов|Тест Passmark G3D Mark|Маркировка производителя|Версия HDMI|Версия DisplayPort|Рекомендуемая мощность БП от|Поддержка VR|LHR (low hash rate)|Архитектура|Подсветка|miniDisplayPort|USB C|Синхронизация подсветки|Низкопрофильная (low profile)|Поддержка CrossFire/SLI|VGA|Создано для майнинга|Код EAN / UPS / GTIN|Слот M.2|miniHDMI|Внешняя
ZOTAC GeForce RTX 4060 Ti 8GB Twin Edge ZT-D40610E-10M|PCI-E v4.0 / x8 /||||3 шт|4|активное (кулер)|160 Вт|8 pin|2.2|226 мм|NVIDIA GeForce RTX 4060 Ti|8 ГБ|GDDR6|128 бит|2535 МГц|18000 МГц|5 нм|7680x4320 пикс|12 Ultimate|4.6|4352|||1 шт|2 шт||ZT-D40610E-10M|v.2.1a|v.1.4a|500 Вт|Есть||Ada Lovelace|Есть||||||||4895173626944|||
Gainward GeForce RTX 4060 Ti Ghost 8GB NE6406T019P1-1060B|PCI-E v4.0 / x8 /||||3 шт|4|активное (кулер)||8 pin|2|250 мм|NVIDIA GeForce RTX 4060 Ti|8 ГБ|GDDR6|128 бит|2535 МГц|18000 МГц|5 нм|7680x4320 пикс|12 Ultimate|4.6|4352|||1 шт|2 шт||NE6406T019P1-1060B|v.2.1a|v.1.4a||Есть||Ada Lovelace|Есть||||||||4710562243949|||
ZOTAC GeForce GT 730 ZT-71115-20L|PCI-E v2.0||1 шт|||2|пассивное (радиатор)|||1|145 мм|NVIDIA GeForce GT 730|4 ГБ|DDR3|64 бит|902 МГц|1600 МГц|28 нм|4096x2160 пикс|12|4.4|384|5|32|1 шт||||||||||||||||1 шт||4895173605352|||
INNO3D GeForce GT 730 4GB D3 LP|PCI-E v2.0||1 шт|||2|активное (кулер)|||1|146 мм|NVIDIA GeForce GT 730|4 ГБ|DDR3|64 бит|902 МГц|1600 МГц|28 нм|2560x1600 пикс|11|4.4|384|5|32|1 шт|1 шт|||||300 Вт||||||||Есть||1 шт|||||
Maxsun GeForce RTX 4070 Ti MGG OC 12G|PCI-E v4.0||||3 шт|4|активное (кулер)|320 Вт|16 pin|3|336 мм|NVIDIA GeForce RTX 4070 Ti|12 ГБ|GDDR6X|192 бит|2715 МГц|21000 МГц|5 нм|7680x4320 пикс|12 Ultimate|4.6|7680|||1 шт|3 шт|31526 балл(ов)||v.2.1a|v.1.4a|750 Вт|Есть||Ada Lovelace|Есть|||||||||||
PNY Quadro RTX A4500 VCNRTXA4500-SB|PCI-E v4.0|Есть|||4 шт||активное (кулер)|200 Вт|8 pin|2|267 мм|NVIDIA Quadro RTX A4500|20 ГБ|GDDR6|320 бит|1650 МГц|16000 МГц||7680x4320 пикс|12|4.6|7168||||1 шт||||v.1.4|550 Вт|Есть||||||||Есть|||3536403387846|||
MSI Radeon RX 7600 MECH 2X CLASSIC 8G|PCI-E v4.0 / x8 /||||3 шт|4|активное (кулер)|165 Вт|8 pin|2.2|235 мм|AMD Radeon RX 7600|8 ГБ|GDDR6|128 бит|2655 МГц|18000 МГц|6 нм|7680x4320 пикс|12 Ultimate|4.6|2048|||1 шт|2 шт|||v.2.1|v.1.4|550 Вт|||Navi 3X (RDNA 3)||||||||||||
INNO3D GeForce RTX 3070 Ti X3 GA102 N307T3-086X-1810VA44|PCI-E v4.0||||3 шт|4|активное (кулер)||8 + 8 pin|2|300 мм|NVIDIA GeForce RTX 3070 Ti|8 ГБ|GDDR6X|256 бит|1770 МГц|19000 МГц|8 нм|7680x4320 пикс|12 Ultimate|4.6|6144|||1 шт|3 шт|22492 балл(ов)|N307T3-086X-1810VA44|v.2.1|v.1.4a|750 Вт|Есть|Есть|Ampere|||||||||0835168003088, 4895223103067|||
INNO3D GeForce GTX 750 N750-1SDV-D5CW|PCI-E v3.0||1 шт|1 шт||3|активное (кулер)|55 Вт||2|155 мм|NVIDIA GeForce GTX 750|1 ГБ|GDDR5|128 бит|1020 МГц|5000 МГц|28 нм|2560x1600 пикс|11.2|4.4|512|5|32|||||||||||||||||||||1 шт|
Gigabyte Radeon RX 6950 XT GAMING OC 16G GV-R695XTGAMING OC-16GD|PCI-E v4.0||||2 шт|4|активное (кулер)||8 + 8 + 8 pin|3|332 мм|AMD Radeon RX 6950 XT|16 ГБ|GDDR6|256 бит|2324 МГц|18000 МГц|7 нм|7680x4320 пикс|12|4.6|5120|||2 шт|3 шт|28783 балл(ов)|GV-R695XTGAMING OC-16GD|v.2.1|v.1.4a|850 Вт|Есть||Big Navi (RDNA 2)|Есть|||Gigabyte RGB Fusion||Есть|||4719331310905|||
Gigabyte GeForce RTX 4080 SUPER GAMING OC 16G GV-N408SGAMING OC-16GD|PCI-E v4.0||||3 шт|4|активное (кулер)|320 Вт|16 pin|4|342 мм|NVIDIA GeForce RTX 4080 SUPER|16 ГБ|GDDR6X|256 бит||23000 МГц|5 нм|7680x4320 пикс|12 Ultimate|4.6|10240|||1 шт|3 шт||GV-N408SGAMING OC-16GD|v.2.1a|v.1.4a|850 Вт|Есть||Ada Lovelace|Есть|||Gigabyte RGB Fusion||||||||
Asus GeForce RTX 4080 SUPER TUF Gaming OC TUF-RTX4080S-O16G-GAMING|PCI-E v4.0||||3 шт|4|активное (кулер)|320 Вт|16 pin|3.7|348 мм|NVIDIA GeForce RTX 4080 SUPER|16 ГБ|GDDR6X|256 бит|2640 МГц|23000 МГц|5 нм|7680x4320 пикс|12 Ultimate|4.6|10240|||2 шт|3 шт||TUF-RTX4080S-O16G-GAMING|v.2.1a|v.1.4a|850 Вт|Есть||Ada Lovelace|Есть|||Asus Aura Sync||||||||
MSI GeForce RTX 3080 VENTUS 3X 10G OC|PCI-E v4.0||||3 шт|4|активное (кулер)||8 + 8 pin|2.7|305 мм|NVIDIA GeForce RTX 3080|10 ГБ|GDDR6X|320 бит||19000 МГц|8 нм|7680x4320 пикс|12 Ultimate|4.6|8704|||1 шт|3 шт|23907 балл(ов)||v.2.1|v.1.4a|700 Вт|Есть||Ampere||||||||||||
INNO3D GeForce GTX 1650 GDDR6 COMPACT N16501-04D6-1177VA19|PCI-E v3.0||||2 шт|3|активное (кулер)|75 Вт||2|160 мм|NVIDIA GeForce GTX 1650|4 ГБ|GDDR6|128 бит|1590 МГц|12000 МГц|12 нм|7680x4320 пикс|12|4.6|896||56|1 шт|1 шт|5825 балл(ов)|N16501-04D6-1177VA19|v.2.0b|v.1.4|300 Вт||||||||||||4895223101360|||
Gigabyte GeForce RTX 3080 GAMING OC WATERFORCE WB 10G GV-N3080GAMINGOC WB-10GD|PCI-E v4.0||||3 шт|4|жидкостное (ватерблок)||8 + 8 pin|2|310 мм|NVIDIA GeForce RTX 3080|10 ГБ|GDDR6X|320 бит|1800 МГц|19000 МГц|8 нм|7680x4320 пикс|12 Ultimate|4.6|8704|||2 шт||23907 балл(ов)|GV-N3080GAMINGOC WB-10GD|v.2.1|v.1.4a|750 Вт|Есть|||Есть|||Gigabyte RGB Fusion||||||||
Asus Radeon RX 6600 Dual 90YV0GP0-M0NA00|PCI-E v4.0||||3 шт|4|активное (кулер)||8 pin|2.5|243 мм|AMD Radeon RX 6600|8 ГБ|GDDR6|128 бит|2491 МГц|14000 МГц|7 нм|7680x4320 пикс|12 Ultimate|4.6|1792|||1 шт|2 шт|14990 балл(ов)|90YV0GP0-M0NA00|v.2.1|v.1.4a|500 Вт|Есть||Big Navi (RDNA 2)|||||||||4711081363118|||
Asus GeForce RTX 3050 Phoenix EVO 8GB PH-RTX3050-8G-EVO|PCI-E v4.0||||3 шт|4|активное (кулер)||8 pin|2.2|172 мм|NVIDIA GeForce RTX 3050|8 ГБ|GDDR6|128 бит|1807 МГц|14000 МГц|8 нм|7680x4320 пикс|12 Ultimate|4.6|2560|||1 шт|1 шт||PH-RTX3050-8G-EVO|v.2.1|v.1.4a|550 Вт|Есть||Ampere||||||||||||
Gigabyte GeForce RTX 4080 SUPER AERO OC 16G GV-N408SAERO OC-16GD|PCI-E v4.0||||3 шт|4|активное (кулер)|320 Вт|16 pin|4|342 мм|NVIDIA GeForce RTX 4080 SUPER|16 ГБ|GDDR6X|256 бит||23000 МГц|5 нм|7680x4320 пикс|12 Ultimate|4.6|10240|||1 шт|3 шт||GV-N408SAERO OC-16GD|v.2.1a|v.1.4a|850 Вт|Есть||Ada Lovelace|Есть|||Gigabyte RGB Fusion||||||||
Sapphire Radeon RX 6600 XT PULSE 11309-03-20G|PCI-E v4.0||||3 шт|4|активное (кулер)|170 Вт|8 pin|2.2|240 мм|AMD Radeon RX 6600 XT|8 ГБ|GDDR6|128 бит|2593 МГц|16000 МГц|7 нм|7680x4320 пикс|12 Ultimate|4.6|2048|||1 шт|2 шт|15469 балл(ов)|11309-03-20G|v.2.1|v.1.4a|500 Вт|Есть||Big Navi (RDNA 2)||||||||||||
Asus GeForce RTX 4060 Ti ROG Strix OC 8GB GDDR6 ROG-STRIX-RTX4060TI-O8G-GAMING|PCI-E v4.0 / x8 /||||3 шт|4|активное (кулер)||8 pin|3.2|311 мм|NVIDIA GeForce RTX 4060 Ti|8 ГБ|GDDR6|128 бит|2715 МГц|18000 МГц|5 нм|7680x4320 пикс|12 Ultimate|4.6|4352|||1 шт|3 шт||ROG-STRIX-RTX4060TI-O8G-GAMING|v.2.1|v.1.4a|650 Вт|Есть||Ada Lovelace|Есть|||Asus Aura Sync||||||||
INNO3D GeForce RTX 4060 Ti 16GB X3 OC|PCI-E v4.0 / x8 /||||3 шт|4|активное (кулер)|160 Вт|8 pin|2|297 мм|NVIDIA GeForce RTX 4060 Ti|16 ГБ|GDDR6|128 бит|2565 МГц|18000 МГц|5 нм|7680x4320 пикс|12 Ultimate|4.6|4352|||1 шт|3 шт|||v.2.1a|v.1.4a|550 Вт|Есть||Ada Lovelace||||||||||||
ZOTAC GeForce RTX 3060 Ti GDDR6X Twin Edge OC ZT-A30620H-10P|PCI-E v4.0||||3 шт|4|активное (кулер)|225 Вт|8 + 8 pin|2|232 мм|NVIDIA GeForce RTX 3060 Ti|8 ГБ|GDDR6X|256 бит|1695 МГц|19000 МГц|8 нм|7680x4320 пикс|12 Ultimate|4.6|4864|||1 шт|2 шт|19523 балл(ов)|ZT-A30620H-10P|v.2.1|v.1.4a|650 Вт|Есть||Ampere|||||||||4895173626562|||
INNO3D GeForce RTX 3070 TWIN X2 OC LHR N30702-08D6X-171032LH|PCI-E v4.0||||3 шт|4|активное (кулер)||8 pin|2|240 мм|NVIDIA GeForce RTX 3070 / LHR /|8 ГБ|GDDR6|256 бит|1740 МГц|14000 МГц|8 нм|7680x4320 пикс|12 Ultimate|4.6|5888|||1 шт|2 шт|21358 балл(ов)|N30702-08D6X-171032LH|v.2.1|v.1.4a|650 Вт|Есть|Есть|Ampere|||||||||4895223102039|||
Maxsun GeForce RTX 4070 iCraft OC Limited 12G|PCI-E v4.0||||3 шт|4|активное (кулер)|215 Вт|8 + 8 pin|3|336 мм|NVIDIA GeForce RTX 4070|12 ГБ|GDDR6X|192 бит|2550 МГц|21000 МГц|5 нм|7680x4320 пикс|12 Ultimate|4.6|5888|||1 шт|3 шт|26394 балл(ов)||v.2.1a|v.1.4a|650 Вт|Есть||Ada Lovelace|Есть|||||||||||
Maxsun GeForce RTX 4060 Ti Terminator W 8G|PCI-E v4.0 / x8 /||||3 шт|4|активное (кулер)|160 Вт|8 pin|2.5|250 мм|NVIDIA GeForce RTX 4060 Ti|8 ГБ|GDDR6|128 бит|2535 МГц|18000 МГц|5 нм|7680x4320 пикс|12 Ultimate|4.6|4352|||1 шт|2 шт|22604 балл(ов)||v.2.1a|v.1.4a|550 Вт|Есть||Ada Lovelace||||||||||||
Gainward GeForce RTX 4070 SUPER Ghost NED407S019K9-1043B|PCI-E v4.0||||3 шт|4|активное (кулер)|220 Вт|16 pin|2|269 мм|NVIDIA GeForce RTX 4070 SUPER|12 ГБ|GDDR6X|192 бит|2475 МГц|21000 МГц|5 нм|7680x4320 пикс|12 Ultimate|4.6|7168|||1 шт|2 шт||NED407S019K9-1043B|v.2.1a|v.1.4a|750 Вт|Есть||Ada Lovelace|Есть|||||||||||
Gainward GeForce RTX 4080 SUPER Panther OC NED408SS19T2-1032Z|PCI-E v4.0||||3 шт|4|активное (кулер)|320 Вт|16 pin|3.2|329 мм|NVIDIA GeForce RTX 4080 SUPER|16 ГБ|GDDR6X|256 бит|2580 МГц|23000 МГц|5 нм|7680x4320 пикс|12 Ultimate|4.6|10240|||1 шт|3 шт||NED408SS19T2-1032Z|v.2.1a|v.1.4a|850 Вт|Есть||Ada Lovelace||||||||||||
MSI Radeon RX 6600 XT MECH 2X 8G|PCI-E v4.0||||3 шт|4|активное (кулер)|160 Вт|8 pin|2.2|235 мм|AMD Radeon RX 6600 XT|8 ГБ|GDDR6|128 бит||16000 МГц|7 нм|7680x4320 пикс|12 Ultimate|4.6|2048|||1 шт|2 шт|15469 балл(ов)||v.2.1|v.1.4a|500 Вт|Есть||||||||||||||
Biostar Radeon RX 7900 XT VA7906XE00|PCI-E v4.0||||2 шт|4|активное (кулер)||8 + 8 pin|2.5|276 мм|AMD Radeon RX 7900 XT|20 ГБ|GDDR6|320 бит|2394 МГц|20000 МГц|5 нм|7680x4320 пикс|12 Ultimate|4.6|5376|||1 шт|3 шт|28338 балл(ов)|||v.2.1|750 Вт|||Navi 3X (RDNA 3)|||1 шт|||||||||
PowerColor Radeon RX 7700 XT Red Devil RX 7700 XT 12G-E/OC|PCI-E v4.0 / x16 /||||3 шт|4|активное (кулер)|245 Вт|8 + 8 pin|2.5|345 мм|AMD Radeon RX 7700 XT|12 ГБ|GDDR6|192 бит|2599 МГц|18000 МГц|5 нм|7680x4320 пикс|12 Ultimate|4.6|3456|||1 шт|3 шт||RX 7700 XT 12G-E/OC|v.2.1|v.2.1|800 Вт|||Navi 3X (RDNA 3)|Есть||||||||4713436174974|||
Palit GeForce GT 730 NEAT7300HD41-1085F|PCI-E v2.0|||1 шт||2|активное (кулер)|49 Вт||2|150 мм|NVIDIA GeForce GT 730|2 ГБ|DDR3|128 бит|700 МГц|1400 МГц|28 нм|2560x1600 пикс|12|4.4|96|5|16|1 шт|1 шт|||||||||||||Есть||1 шт|||||
MSI GeForce RTX 4070 Ti SUPER 16G VENTUS 2X OC|PCI-E v4.0||||3 шт|4|активное (кулер)|285 Вт|16 pin|2.5|242 мм|NVIDIA GeForce RTX 4070 Ti SUPER|16 ГБ|GDDR6X|256 бит|2655 МГц|21000 МГц|5 нм|7680x4320 пикс|12 Ultimate|4.6|8448|||1 шт|2 шт|||v.2.1a|v.1.4a|700 Вт|Есть||Ada Lovelace||||||||||||
Asus GeForce RTX 4060 Ti ROG Strix OC 16GB ROG-STRIX-RTX4060TI-O16G-GAMING|PCI-E v4.0 / x8 /||||3 шт|4|активное (кулер)||8 pin|3.2|311 мм|NVIDIA GeForce RTX 4060 Ti|16 ГБ|GDDR6|128 бит|2745 МГц|18000 МГц|5 нм|7680x4320 пикс|12 Ultimate|4.6|4352|||1 шт|3 шт|22604 балл(ов)|ROG-STRIX-RTX4060TI-O16G-GAMING|v.2.1a|v.1.4a|650 Вт|Есть||Ada Lovelace|Есть|||Asus Aura Sync|||||4711387277362|||
AFOX Radeon R5 230 AFR5230-2048D3L9|PCI-E v2.1||1 шт|||2|активное (кулер)|20 Вт||1|145 мм|AMD Radeon R5 230|2 ГБ|GDDR3|64 бит|625 МГц|1333 МГц|40 нм|2048x1536 пикс|11|4.3|160|5|8|1 шт|1 шт|||||400 Вт||||||||Есть||1 шт|||||
Gigabyte GeForce RTX 3070 EAGLE LHR 8G GV-N3070EAGLE-8GD 2.0 LHR|PCI-E v4.0||||2 шт|4|активное (кулер)||6 + 8 pin|2|282 мм|NVIDIA GeForce RTX 3070|8 ГБ|GDDR6|256 бит|1725 МГц|14000 МГц|8 нм|7680x4320 пикс|12 Ultimate|4.6|5888|||2 шт|3 шт|21358 балл(ов)|GV-N3070EAGLE-8GD 2.0 LHR|v.2.1|v.1.4a|650 Вт|Есть|Есть|Ampere|||||||||4719331309459|||
Asus GeForce RTX 4060 Ti ROG Strix 8GB GDDR6 ROG-STRIX-RTX4060TI-8G-GAMING|PCI-E v4.0 / x8 /||||3 шт|4|активное (кулер)||8 pin|3.2|311 мм|NVIDIA GeForce RTX 4060 Ti|8 ГБ|GDDR6|128 бит|2565 МГц|18000 МГц|5 нм|7680x4320 пикс|12 Ultimate|4.6|4352|||1 шт|3 шт||ROG-STRIX-RTX4060TI-8G-GAMING|v.2.1|v.1.4a|650 Вт|Есть||Ada Lovelace|Есть|||Asus Aura Sync||||||||
ZOTAC GeForce RTX 4060 Ti 8GB Twin Edge OC SPIDER-MAN ZT-D40610H-10SMP|PCI-E v4.0 / x8 /||||3 шт|4|активное (кулер)|160 Вт|8 pin|2.2|226 мм|NVIDIA GeForce RTX 4060 Ti|8 ГБ|GDDR6|128 бит|2550 МГц|18000 МГц|5 нм|7680x4320 пикс|12 Ultimate|4.6|4352|||1 шт|2 шт||ZT-D40610H-10SMP|v.2.1a|v.1.4a|500 Вт|Есть||Ada Lovelace|Есть|||||||||||
Asus GeForce RTX 3070 EKWB RTX3070-8G-EK|PCI-E v4.0||||3 шт|4|жидкостное (ватерблок)||6 + 6 pin|1|209 мм|NVIDIA GeForce RTX 3070|8 ГБ|GDDR6|256 бит|1755 МГц|14000 МГц|8 нм|7680x4320 пикс|12 Ultimate|4.6|5888|||1 шт||21358 балл(ов)|RTX3070-8G-EK|v.2.1|v.1.4a|750 Вт|Есть|||Есть|||Asus Aura Sync||||||||
INNO3D GeForce GT 730 1GB DDR3 LP|PCI-E v2.0||1 шт|||2|пассивное (радиатор)|25 Вт||2|140 мм|NVIDIA GeForce GT 730|1 ГБ|DDR3|64 бит|902 МГц|1600 МГц|28 нм|4096x2160 пикс|11|4.4|384|5|32|1 шт||||||400 Вт||||||||Есть||1 шт|||||
ZOTAC GeForce RTX 3060 AMP White Edition ZT-A30600F-10P|PCI-E v4.0||||3 шт|4|активное (кулер)|170 Вт|8 pin|2|232 мм|NVIDIA GeForce RTX 3060|12 ГБ|GDDR6|192 бит|1867 МГц|15000 МГц|8 нм|7680x4320 пикс|12 Ultimate|4.6|3584||112|1 шт|2 шт|16618 балл(ов)|ZT-A30600F-10P|v.2.1|v.1.4a|600 Вт|Есть||Ampere|||||||||4895173622854|||
Asus GeForce GTX 1660 TUF OC TUF-GTX1660-O6G-GAMING|PCI-E v3.0||1 шт||1 шт|3|активное (кулер)||8 pin|2|205 мм|NVIDIA GeForce GTX 1660|6 ГБ|GDDR5|192 бит|1845 МГц|8002 МГц|12 нм|7680x4320 пикс|12|4.6|1408||88|1 шт|2 шт|11737 балл(ов)|TUF-GTX1660-O6G-GAMING|v.2.0b|v.1.4|450 Вт|Есть||||||||||||||
ZOTAC GeForce RTX 4070 Ti AMP AIRO ZT-D40710F-10P|PCI-E v4.0||||3 шт|4|активное (кулер)|285 Вт|16 pin|2.5|308 мм|NVIDIA GeForce RTX 4070 Ti|12 ГБ|GDDR6X|192 бит|2670 МГц|21000 МГц|5 нм|7680x4320 пикс|12 Ultimate|4.6|7680|||1 шт|3 шт|34587 балл(ов)|ZT-D40710F-10P|v.2.1a|v.1.4a|750 Вт|Есть||Ada Lovelace|Есть||||||||4895173626579|||
ZOTAC GeForce RTX 3070 Twin Edge OC White Edition LHR ZT-A30700J-10PLHR|PCI-E v4.0||||3 шт|4|активное (кулер)|220 Вт|8 + 8 pin|2|232 мм|NVIDIA GeForce RTX 3070|8 ГБ|GDDR6|256 бит|1755 МГц|14000 МГц|8 нм|7680x4320 пикс|12 Ultimate|4.6|5888|||1 шт|2 шт|21358 балл(ов)|ZT-A30700J-10PLHR|v.2.1|v.1.4a|650 Вт|Есть|Есть|Ampere||||||||||||
MSI GeForce RTX 3080 SEA HAWK X 10G LHR|PCI-E v4.0||||3 шт|4|гибридное (ватерблок+кулер)|320 Вт|8 + 8 pin|2|271 мм|NVIDIA GeForce RTX 3080 / LHR /|10 ГБ|GDDR6X|320 бит|1785 МГц|19000 МГц|8 нм|7680x4320 пикс|12 Ultimate|4.6|8704|||1 шт|3 шт|23907 балл(ов)||v.2.1|v.1.4a|750 Вт|Есть|Есть|||||||||||||
Asus Radeon RX 6900 XT ROG STRIX LC OC ROG-STRIX-LC-RX6900XT-O16G-GAMING|PCI-E v4.0||||2 шт|4|гибридное (ватерблок+кулер)||8 + 8 + 8 pin|2|277 мм|AMD Radeon RX 6900 XT|16 ГБ|GDDR6|256 бит|2365 МГц|16000 МГц|7 нм|7680x4320 пикс|12|4.6|5120||320|1 шт|3 шт|24900 балл(ов)|ROG-STRIX-LC-RX6900XT-O16G-GAMING|v.2.1|v.1.4a|850 Вт|Есть|||||1 шт|||Есть||||||
Gainward GeForce RTX 4060 Ti Pegasus OC 8GB NE6406TS19P1-1060E|PCI-E v4.0 / x8 /||||3 шт|4|активное (кулер)||8 pin|2|170 мм|NVIDIA GeForce RTX 4060 Ti|8 ГБ|GDDR6|128 бит|2670 МГц|18000 МГц|5 нм|7680x4320 пикс|12 Ultimate|4.6|4352|||1 шт|1 шт||NE6406TS19P1-1060E|v.2.1a|v.1.4a||Есть||Ada Lovelace|||||||||4710562243970|||
Asus GeForce GTX 1650 Phoenix EVO OC PH-GTX1650-O4GD6-P-EVO|PCI-E v3.0||1 шт||1 шт|3|активное (кулер)|75 Вт|6 pin|2|197 мм|NVIDIA GeForce GTX 1650|4 ГБ|GDDR6|128 бит|1635 МГц|12000 МГц|12 нм|7680x4320 пикс|12|4.6|896||56|1 шт|1 шт|5825 балл(ов)|PH-GTX1650-O4GD6-P-EVO|v.2.0b|v.1.4a|300 Вт|||||||||||||||
INNO3D GeForce GT 710 1GB DDR3 LP|PCI-E v2.0||1 шт|||2|пассивное (радиатор)|19 Вт||2|140 мм|NVIDIA GeForce GT 710|1 ГБ|DDR3|64 бит|854 МГц|1600 МГц|28 нм|4096x2160 пикс|12|4.4|192|5|16|1 шт||||||300 Вт||||||||Есть||1 шт|||||
Asus GeForce GTX 1650 Phoenix OC V2 PH-GTX1650-O4GD6-P-V2|PCI-E v3.0||1 шт||1 шт|3|активное (кулер)|75 Вт|6 pin|2|174 мм|NVIDIA GeForce GTX 1650|4 ГБ|GDDR6|128 бит|1635 МГц|12000 МГц|12 нм|7680x4320 пикс|12|4.6|896||56|1 шт|1 шт|5825 балл(ов)|PH-GTX1650-O4GD6-P-V2|v.2.0b|v.1.4a|300 Вт||||||||||||4711081321552|||
AFOX GeForce G 210 AF210-1024D3L2-V3|PCI-E v2.0||1 шт||||активное (кулер)|||1|165 мм|NVIDIA GeForce GT 210|1 ГБ|DDR3|128 бит|450 МГц|1040 МГц||2560x1600 пикс|10.1|3.1||||1 шт|1 шт|||||||||||||Есть||1 шт|||||
Asus GeForce RTX 3090 TUF GAMING OC TUF-RTX3090-O24G-GAMING|PCI-E v4.0||||3 шт|4|активное (кулер)||8 + 8 pin|2.7|300 мм|NVIDIA GeForce RTX 3090|24 ГБ|GDDR6X|384 бит|1770 МГц|19500 МГц|8 нм|7680x4320 пикс|12 Ultimate|4.6|10496|||2 шт|3 шт|25031 балл(ов)|TUF-RTX3090-O24G-GAMING|v.2.1|v.1.4a|850 Вт|Есть|||Есть|||Asus Aura Sync||Есть||||||
MSI GeForce GTX 1650 D6 VENTUS XS V3|PCI-E v3.0||1 шт||1 шт|3|активное (кулер)|90 Вт|6 pin|2|179 мм|NVIDIA GeForce GTX 1650|4 ГБ|GDDR6|128 бит|1590 МГц|12000 МГц|12 нм|7680x4320 пикс|12|4.6|896||56|1 шт|2 шт|5825 балл(ов)||v.2.0b|v.1.4a|300 Вт|||||||||||||||
Asus GeForce RTX 4060 Ti ProArt Advanced 16GB PROART-RTX4060TI-A16G|PCI-E v4.0 / x8 /||||3 шт|4|активное (кулер)||8 pin|2.5|300 мм|NVIDIA GeForce RTX 4060 Ti|16 ГБ|GDDR6|128 бит|2580 МГц|18000 МГц|5 нм|7680x4320 пикс|12 Ultimate|4.6|4352|||1 шт|3 шт|22604 балл(ов)|PROART-RTX4060TI-A16G|v.2.1a|v.1.4a|650 Вт|Есть||Ada Lovelace||||||||||||
