|Мощность|Форм-фактор|Питание MB/CPU|SATA|MOLEX|PCI-E 8pin (6+2)|Система кабелей|+3.3V|+5V|+12V1|-12V|+5Vsb|Мощность +12V|Мощность +3.3V +5V|Мощность -12V|Мощность +5Vsb|Тип PFC|КПД|Система охлаждения|Диаметр вентилятора|Тип подшипника|Сертификат|Стандарт ATX 12В v.|MB|CPU|PCI-E|Защита от перенапряжения (OVP)|Защита от избыточного тока (OPP)|Защита от короткого замыкания (SCP)|Безопасность|Уровень шума|Гарантия производителя|Габариты (ВхШхГ)|Вес|Floppy|Провода в оплетке|Стандарт EPS 12В v.|Маркировка производителя|PCI-E 6pin|+12V2|PCI-E 16pin|Код EAN / UPS / GTIN|+12V3|+12V4|Подсветка|Синхронизация подсветки|PCI-E 8pin
Seasonic Vertex GX -750|750 Вт|ATX|24+8+8(4+4) pin|950 мм|690 мм|2 шт|модульная|20 А|20 А|62 А|0.3 А|3 А|744 Вт|125 Вт|3.6 Вт|15 Вт|активная|90 %|1 вентилятор|135 мм|гидродинамический|80+ Gold|3|610 мм|650 мм|750 мм|Есть|Есть|Есть|UVP, OCP, OTP||10 лет|86x150x160 мм||||||||1 шт||||||
Seasonic Vertex GX -1000|1000 Вт|ATX|24+8+8(4+4) pin|950 мм|690 мм|3 шт|модульная|25 А|25 А|83 А|0.3 А|3 А|996 Вт|125 Вт|3.6 Вт|15 Вт|активная|90 %|1 вентилятор|135 мм|гидродинамический|80+ Gold|3|610 мм|650 мм|750 мм|Есть|Есть|Есть|UVP, OCP, OTP||10 лет|86x150x160 мм||||||||1 шт||||||
Gamemax VP Gamer RGB VP-700-RGB|700 Вт|ATX|24+8 (4+4) pin|5 шт|3 шт|2 шт|не модульная|20 А|20 А|48 А|0.5 А|2.5 А|576 Вт|120 Вт|6 Вт|12.5 Вт|активная|80 %|полупассивная|120 мм||80+|2.31|500 мм|600 мм|400 мм|Есть|Есть|Есть|UVP, OCP, OTP||2 года|86x150x140 мм|||Есть|||||||||Есть||
Thermaltake Litepower RGB 650W|650 Вт|ATX|24+8 (4+4) pin|5 шт|6 шт|2 шт|не модульная||||||||||активная|85 %|1 вентилятор|120 мм||без 80+|2.3||||Есть|Есть|Есть|||2 года|86x150x140 мм||Есть|Есть||LTP-650AL2NK, PS-LTP-0650NHSANE-1||||0841163070246|||Есть||
Gamemax Bitcoin Mining Power GM-1350|1350 Вт|ATX|24+8 (4+4) pin|7 шт|5 шт|6 шт|не модульная||||||||||активная|87 %|1 вентилятор|140 мм||80+ Gold|2.3||||Есть|Есть|Есть|||1 год|86x180x150 мм||||||||||||||
be quiet! SFX L BN238|500 Вт|SFX|24+8 (4+4) pin|650 мм|800 мм|4 шт|модульная|20 А|20 А|41.7 А|0.3 А|3 А|500 Вт|105 Вт|||активная|92 %|1 вентилятор|120 мм||80+ Gold||300 мм|400 мм|400 мм|Есть|Есть|Есть||29 дБ||64x125x130 мм|1.14 кг|||||||||||||
Seasonic PRIME Platinum SSR-1300PD|1300 Вт|ATX|24+8+8(4+4) pin|12 шт|5 шт|12 шт|модульная||||||||||активная|94 %|полупассивная|135 мм||80+ Platinum|2.3||||Есть|Есть|Есть|||12 лет|86x170x150 мм||Есть|Есть||||||4711173873907|||||
Cougar VTC 500|500 Вт|ATX|24+8 (4+4) pin|450 мм|450 мм|2 шт|не модульная|16 А|17 А|40 А|0.3 А|3 А|480 Вт|120 Вт|||активная|84 %|1 вентилятор|||80+||450 мм|600 мм|450 мм|Есть|Есть|Есть||||||||||||||||||
Seasonic G12 GC G12-GC-750|750 Вт|ATX|24+8+8(4+4) pin|690 мм|690 мм|4 шт|не модульная|15 А|15 А|62 А|0.3 А|2.5 А|744 Вт|100 Вт|3.6 Вт|12.5 Вт|активная|90 %|1 вентилятор|120 мм||80+ Gold||550 мм|600 мм|700 мм|Есть|Есть|Есть|OCP||5 лет|86x150x140 мм|||Есть|||||||||||
Thermaltake Toughpower PF1 TTP-750AH2FKP|750 Вт|ATX|24+8+8(4+4) pin|500 мм|500 мм|6 шт|модульная|22 А|22 А|62.5 А|0.3 А|3 А|750 Вт|120 Вт|3.6 Вт|15 Вт|активная|92 %|полупассивная|120 мм|гидродинамический|80+ Platinum||600 мм|650 мм|500 мм|Есть|Есть|Есть|OCP, UVP, OTP||10 лет|86x150x140 мм||Есть|||||||4713227525404|||||
Gamemax GP Series GP-500|500 Вт|ATX|24+8 (4+4) pin|4 шт|3 шт|1 шт|не модульная|||||||||||85 %|1 вентилятор|139 мм||80+|2.3||||Есть|Есть|Есть|||2 года|86x150x140 мм|||||||||6931858720045|||||
Cougar XTC ARGB 550|550 Вт|ATX|24+8 (4+4) pin|450 мм|450 мм|2 шт|не модульная|16 А|18 А|42 А|0.3 А|2.5 А|504 Вт|110 Вт|3.6 Вт|12.5 Вт|активная|87 %|1 вентилятор|120 мм||80+||550 мм|650 мм|450 мм|Есть|Есть|Есть|OCP, UVP||3 года|86x150x140 мм|1.3 кг||||31XG055.0001p|||||||Есть|multi compatibility|
Antec VP Plus VP600P Plus|600 Вт|ATX|24+8 (4+4) pin|7 шт|2 шт|2 шт|не модульная|20 А|17 А|46 А|0.3 А|2.5 А|552 Вт|120 Вт|3.6 Вт|12.5 Вт|активная|85 %|1 вентилятор|120 мм||80+|||||Есть|Есть|Есть|NLO, UVP||2 года|86x140x150 мм|1.8 кг|Есть|Есть||0-761345-11654-1||||0761345116541, 0761345116565|||||
Thermaltake Toughpower iRGB PLUS TPI-750DH3FCG|750 Вт|ATX|24+8 (4+4) pin|500 мм|500 мм|4 шт|модульная|22 А|22 А|62.5 А|0.3 А|3 А|750 Вт|120 Вт|3.6 Вт|15 Вт|активная|90 %|полупассивная|140 мм||80+ Gold|2.4|600 мм|650 мм|500 мм|Есть|Есть|Есть|||10 лет|86x150x160 мм||Есть||2.92||||||||Есть|multi compatibility|
Seasonic Vertex PX -1000|1000 Вт|ATX|24+8+8(4+4) pin|950 мм|690 мм|3 шт|модульная|25 А|25 А|83 А|0.3 А|3 А|996 Вт|125 Вт|3.6 Вт|15 Вт|активная|92 %|1 вентилятор|135 мм|гидродинамический|80+ Platinum|3|610 мм|650 мм|750 мм|Есть|Есть|Есть|UVP, OCP, OTP||10 лет|86x150x160 мм||||||||1 шт||||||
Zalman ARX -ZM750|750 Вт|ATX|24+8+8(4+4) pin|12 шт|6 шт|4 шт|модульная|25 А|22 А|62 А|0.3 А|2.5 А|744 Вт|120 Вт|3.6 Вт|12.5 Вт|активная|94 %|1 вентилятор|135 мм||80+ Platinum|2.3||||Есть|Есть|Есть|UVP, OCP, OTP||3 года|86x150x180 мм|2.9 кг|Есть||2.92||||||||||
A-Data XPG CORE REACTOR 650|650 Вт|ATX|24+8 (4+4) pin|500 мм|500 мм|4 шт|модульная|20 А|20 А|54.1 А|0.3 А|3 А|650 Вт|110 Вт|3.6 Вт|15 Вт|активная|90 %|1 вентилятор|120 мм||80+ Gold||650 мм|650 мм|650 мм|Есть|Есть|Есть|OCP, UVP, OTP, NLO, SIP|22 дБ|10 лет|86x140x150 мм|||||COREREACTOR650G-BKCEU||||4710273773292|||||
Seasonic ET2-series SSP-600ET2|600 Вт|ATX|24+8+8(4+4) pin|600 мм|6 шт|1 шт|не модульная|24 А|24 А|24 А|0.3 А|2.5 А|552 Вт|130 Вт|3.6 Вт|12.5 Вт|||1 вентилятор|120 мм||80+ Bronze|2.3|550 мм|550 мм|600 мм|Есть|Есть|Есть||||86x150x140 мм||Есть||||1 шт|24 А|||||||
Thermaltake Toughpower iRGB PLUS TPI-1000DH3FCG|1050 Вт|ATX|24+8+8(4+4) pin|500 мм|500 мм|6 шт|модульная|24 А|24 А|83.3 А|0.5 А|3 А|999 Вт|120 Вт|6 Вт|15 Вт|активная|95 %|полупассивная|140 мм|гидродинамический|80+ Gold|2.4|600 мм|650 мм|500 мм|Есть|Есть|Есть|||10 лет|86x150x160 мм||Есть||2.92||||||||Есть|multi compatibility|
Thermaltake Toughpower GF1 GF1 850W|850 Вт|ATX|24+8+8(4+4) pin|12 шт|4 шт|6 шт|модульная|22 А|22 А|70.9 А|0.3 А|3 А|850 Вт|120 Вт|3.6 Вт|15 Вт|активная|90 %|полупассивная|140 мм||80+ Gold|||||Есть|Есть|Есть|OCP, UVP, OTP|||86x150x160 мм||Есть|||PS-TPD-0850FNFAGE-1, PS-TPD-0850FNFAGE-2, PS-TTP-0850FNFAGE-2, TTP-850AH3FCG||||4713227525138, 4713227529754|||||
Corsair RMx White Series CP-9020187-EU|750 Вт|ATX|24+8+8(4+4) pin|9 шт|8 шт|4 шт|модульная||||||||||активная|90 %|1 вентилятор|135 мм|скольжения|80+ Gold|2.52||||Есть|Есть|Есть|||10 лет|86x150x160 мм|||Есть|2.92||||||||||
be quiet! Pure Power 9 BN262|400 Вт|ATX|24+8 (4+4) pin|5 шт|2 шт|2 шт|не модульная||||||||||активная|91 %|1 вентилятор|120 мм||80+ Silver|2.4||||Есть|Есть|Есть||17 дБ|3 года|86x150x150 мм|1.86 кг|Есть|||||||4260052186367|||||
Chieftec iARENA GPB GPB-500S|500 Вт|ATX|24+4 pin|550 мм|550 мм|1 шт|не модульная||||||||||активная|85 %|1 вентилятор|120 мм||без 80+|2.3|400 мм|400 мм|400 мм|Есть|Есть|Есть|||2 года|87x150x140 мм||||||||||||||
Corsair RMi Series CP-9020081-EU|650 Вт|ATX|24+8 (4+4) pin|850 мм|750 мм|4 шт|модульная|25 А|25 А|54 А|0.8 А|3 А|648 Вт|130 Вт|9.6 Вт|15 Вт|активная|91 %|1 вентилятор|140 мм||80+ Gold|2.4|610 мм|650 мм|750 мм|Есть|Есть|Есть||22 дБ|10 лет|86x150x160 мм|1.67 кг|Есть||2.92|||||0843591045490|||||
Seasonic G12 GC G12-GC-550|550 Вт|ATX|24+8 (4+4) pin|690 мм|690 мм|2 шт|не модульная|15 А|15 А|45 А|0.3 А|2.5 А|540 Вт|100 Вт|3.6 Вт|12.5 Вт|активная|90 %|1 вентилятор|120 мм||80+ Gold||550 мм|600 мм|700 мм|Есть|Есть|Есть|OCP||5 лет|86x150x140 мм|||Есть||||||4711173876786|||||
Gamemax VP Gamer RGB VP-800-RGB|800 Вт|ATX|24+8 (4+4) pin|6 шт|3 шт|2 шт|не модульная|20 А|20 А|60 А|0.5 А|2.5 А|720 Вт|130 Вт|6 Вт|12.5 Вт|активная|80 %|1 вентилятор|120 мм||80+|2.31|500 мм|600 мм|400 мм|Есть|Есть|Есть|UVP, OCP, OTP||2 года|86x150x140 мм|||Есть|||||||||Есть||
Seasonic FOCUS PX -850|850 Вт|ATX|24+8+8(4+4) pin|860 мм|690 мм|6 шт|модульная||||||||||активная|92 %|полупассивная|120 мм||80+ Platinum|2.3|610 мм|650 мм|750 мм|Есть|Есть|Есть|||10 лет|86x150x140 мм||Есть|Есть||SSR-850PX|||||||||
Corsair CX Series CP-9020061-EU|750 Вт|ATX|24+8 (4+4) pin|8 шт|6 шт|2 шт|полумодульная||||||||||активная|85 %|1 вентилятор|120 мм||80+ Bronze|2.3||||Есть|Есть|Есть|||5 лет|86x150x160 мм|3.27 кг|Есть|Есть|2.91||2 шт||||||||
be quiet! SFX L BN239|600 Вт|SFX|24+8 (4+4) pin|650 мм|800 мм|4 шт|модульная|22 А|22 А|50 А|0.3 А|3 А|600 Вт|105 Вт|||активная|92 %|1 вентилятор|120 мм||80+ Gold||300 мм|400 мм|400 мм|Есть|Есть|Есть||29 дБ||64x125x130 мм|1.16 кг|||||||||||||
Cooler Master V SFX Platinum MPZ-D001-SFBP-B|1300 Вт|SFX|24+8+8(4+4) pin|8 шт|4 шт|3 шт|модульная|20 А|20 А|108.3 А|0.3 А|3 А|1300 Вт|120 Вт|3.6 Вт|15 Вт|активная|94 %|1 вентилятор|92 мм|гидродинамический|80+ Platinum|3||||Есть|Есть|Есть|OCP, UVP, OTP||10 лет|64x125x100 мм||||3.42||||1 шт|4719512122815, 4719512122822, 4719512122839|||||
2E Solid Power -SP600BR-120|600 Вт|ATX|24 (20+4) pin|500 мм|500 мм|4 шт|не модульная|20 А|20 А|50 А|0.3 А|2.5 А|600 Вт|120 Вт|3.6 Вт|12.5 Вт|активная|85 %|1 вентилятор|120 мм|гидродинамический|80+ Bronze||500 мм|650 мм|500 мм|Есть|Есть|Есть|||3 года|86x150x140 мм|1.95 кг|||||||||||||
Seasonic PRIME 1300 W GOLD PRIME GX-1300|1300 Вт|ATX|24+8+8(4+4) pin|12 шт|5 шт|12 шт|модульная||||||||||активная|90 %|полупассивная|135 мм||80+ Gold|2.3||||Есть|Есть|Есть|UVP, OCP, OTP|20 дБ|12 лет|86x170x150 мм||Есть|Есть||SSR-1300GD|||||||||
Thermaltake Toughpower GF2 ARGB TTP-850AH3FSG-A|850 Вт|ATX|24+8+8(4+4) pin|500 мм|500 мм|4 шт|модульная|22 А|22 А|70.9 А|0.3 А|2.5 А|850 Вт|120 Вт|3.6 Вт|15 Вт|активная||полупассивная|140 мм|гидродинамический|80+ Gold||600 мм|650 мм|500 мм|Есть|Есть|Есть|OCP, UVP, OTP|28 дБ|10 лет|86x150x160 мм||Есть|||PS-TPD-0850F3FAGE-2|||||||Есть|multi compatibility|
2E Extra Power -EP750GM-140|750 Вт|ATX|24+8+8(4+4) pin|450 мм|500 мм|4 шт|модульная|20 А|20 А|62 А|0.3 А|2.5 А|744 Вт|130 Вт|3.6 Вт|12.5 Вт|активная|90 %|1 вентилятор|140 мм|гидродинамический|80+ Gold||550 мм|550 мм|550 мм|Есть|Есть|Есть|||3 года|86x150x140 мм|2.33 кг|||||||||||||
Cooler Master MWE Gold Modular MPY-6501-AFAAG|650 Вт|ATX|24+8 (4+4) pin|750 мм|750 мм|4 шт|модульная||||||||||активная|90 %|1 вентилятор|120 мм||80+ Gold|2.31|610 мм|650 мм|720 мм|Есть|Есть|Есть|||5 лет|86x150x140 мм||Есть||||||||||||
Thermaltake Smart SPS-730MPCBEU|730 Вт|ATX|24+8 (4+4) pin|6 шт|3 шт|4 шт|полумодульная||||||||||активная|87 %|1 вентилятор|140 мм||80+|2.3||||Есть|Есть|Есть|||3 года|150x86x160 мм||Есть||2.92||||||||||
FSP PNR ATX-500|500 Вт|ATX|24+4 pin|3 шт|5 шт||не модульная|22 А|20 А|18 А|0.3 А|2.5 А|||||активная||1 вентилятор|120 мм||без 80+|2.2|||||||||1 год|||Есть||||1 шт|18 А|||||||
2E Master Power -MP550-120APFC|550 Вт|ATX|24+8 (4+4) pin|5 шт|3 шт|2 шт|не модульная|18 А|18 А|38 А|0.3 А|2.5 А|456 Вт|110 Вт|3.6 Вт|12.5 Вт|активная||1 вентилятор|120 мм||80+ White|||||Есть|Есть|Есть|||3 года|86x150x140 мм|1.79 кг|||||||||||||
Thermaltake Smart RGB SPR-0600NHSAW|600 Вт|ATX|24+8 (4+4) pin|5 шт|4 шт|2 шт|не модульная|22 А|17 А|42 А|0.5 А|2.5 А|504 Вт|105 Вт|||активная|86 %|1 вентилятор|120 мм||80+|2.3||||Есть|Есть|Есть|||5 лет|86x150x140 мм||Есть||||||||||Есть||
Thermaltake Toughpower iRGB PLUS TPI-1050F2FDP|1050 Вт|ATX|24+8 (4+4) pin|||8 шт|модульная||||||||||активная|95 %|полупассивная|140 мм||80+ Platinum|2.4||||Есть|Есть|Есть|||10 лет|86x160x150 мм||||2.92||||||||Есть|multi compatibility|
2E Basic Power -BP500-120APFC|500 Вт|ATX|24+8 (4+4) pin|4 шт|3 шт|2 шт|не модульная|17 А|17 А|34 А|0.3 А|2.5 А|408 Вт|100 Вт|3.6 Вт|12.5 Вт|активная||1 вентилятор|120 мм||без 80+||||||||||3 года|86x150x140 мм|1.58 кг|||||||||||||
2E Solid Power -SP700BR-120|700 Вт|ATX|24 (20+4) pin|500 мм|500 мм|4 шт|не модульная|20 А|20 А|58 А|0.3 А|2.5 А|696 Вт|130 Вт|3.6 Вт|12.5 Вт|активная|85 %|1 вентилятор|120 мм|гидродинамический|80+ Bronze||500 мм|650 мм|500 мм|Есть|Есть|Есть|||3 года|86x150x140 мм|1.98 кг|||||||||||||
2E Master Power -MP650-120APFC|650 Вт|ATX|24+8 (4+4) pin|5 шт|3 шт|2 шт|не модульная|20 А|20 А|46 А|0.3 А|2.5 А|552 Вт|120 Вт|3.6 Вт|12.5 Вт|активная||1 вентилятор|120 мм||80+ White|||||Есть|Есть|Есть|||3 года|86x150x140 мм|1.86 кг|||||||||||||
Corsair RM White Series CP-9020231-EU|750 Вт|ATX|24+8+8+8 pin|520 мм|450 мм|4 шт|модульная|20 А|20 А|62.5 А|0.3 А|3 А|750 Вт|150 Вт|3.6 Вт|15 Вт|активная|90 %|полупассивная|||80+ Gold|2.4|610 мм|650 мм|600 мм|Есть|Есть|Есть||30 дБ|10 лет|86x150x160 мм|1.57 кг|||||||||||||
2E Basic Power -BP400-120APFC|400 Вт|ATX|24+8 (4+4) pin|4 шт|3 шт|1 шт|не модульная|15 А|15 А|25 А|0.3 А|2.5 А|300 Вт|90 Вт|3.6 Вт|12.5 Вт|активная||1 вентилятор|120 мм||без 80+||||||||||3 года|86x150x140 мм|1.48 кг|||||||||||||
Antec Basiq VP650P|650 Вт|ATX|24+8 (4+4) pin|6 шт|4 шт|2 шт|не модульная||||||||||активная||1 вентилятор|120 мм||без 80+|2.3||||Есть|Есть|Есть||||86x150x140 мм|1.5 кг|Есть||2.91||||||||||
2E Extra Power -EP850GM-140|850 Вт|ATX|24+8+8(4+4) pin|450 мм|500 мм|4 шт|модульная|20 А|20 А|70 А|0.3 А|2.5 А|840 Вт|130 Вт|3.6 Вт|12.5 Вт|активная|90 %|1 вентилятор|140 мм|гидродинамический|80+ Gold||550 мм|550 мм|550 мм|Есть|Есть|Есть|||3 года|86x150x140 мм|2.34 кг|||||||||||||
Seasonic FOCUS PX -750|750 Вт|ATX|24+8+8(4+4) pin|860 мм|690 мм|4 шт|модульная||||||||||активная|92 %|полупассивная|120 мм||80+ Platinum|2.3|610 мм|650 мм|750 мм|Есть|Есть|Есть|||10 лет|86x150x140 мм||Есть|Есть||SSR-750PX|||||||||
Thermaltake Toughpower Grand Platinum TPG-0750F-P|750 Вт|ATX|24+8 (4+4) pin|8 шт|4 шт|4 шт|модульная||||||||||активная|92 %|1 вентилятор|140 мм||80+ Platinum|2.3||||Есть|Есть|Есть||34 дБ|7 лет|86x150x180 мм||Есть||||||||||||
NZXT C Series Gold PCIE5 C1200 Gold|1200 Вт|ATX|24+8+8(4+4) pin|500 мм|500 мм|2 шт|модульная|22 А|22 А|100 А|0.3 А|3 А|1200 Вт|120 Вт|3.6 Вт|15 Вт|активная|90 %|1 вентилятор|135 мм|гидродинамический|80+ Gold|3|600 мм|700 мм|650 мм|Есть|Есть|Есть|||10 лет|86x150x150 мм||||2.92||||1 шт|5056547202488, 5056547202495, 5056547202501|||||
1stPlayer PS-AR PS-650AR|650 Вт|ATX|24+8+8(4+4) pin|5 шт|3 шт|2 шт|не модульная|20 А|20 А|54 А|0.3 А|2.5 А|||||активная|92 %|полупассивная|120 мм||80+ Gold|||||Есть|Есть|Есть||||86x140x150 мм||||||||||||||
Cougar XTC ARGB 650|650 Вт|ATX|24+8 (4+4) pin|450 мм|450 мм|2 шт|не модульная|18 А|20 А|52 А|0.3 А|3 А|624 Вт|130 Вт|3.6 Вт|15 Вт|активная|87 %|1 вентилятор|120 мм||80+||550 мм|650 мм|450 мм|Есть|Есть|Есть|OCP, UVP||3 года|86x150x140 мм|1.3 кг||||31XG065.0001P|||||||Есть|multi compatibility|
2E Basic Power -BP600-120APFC|600 Вт|ATX|24+8 (4+4) pin|4 шт|3 шт|2 шт|не модульная|19 А|19 А|42 А|0.3 А|2.5 А|504 Вт|110 Вт|3.6 Вт|12.5 Вт|активная||1 вентилятор|120 мм||без 80+||||||||||3 года|86x150x140 мм|1.65 кг|||||||||||||
Antec EarthWatts Gold Pro EA650G Pro|650 Вт|ATX|24+8 (4+4) pin|6 шт|3 шт|4 шт|полумодульная|20 А|20 А|54 А|0.3 А|3 А|648 Вт|100 Вт|3.6 Вт|15 Вт|активная|92 %|1 вентилятор|120 мм||80+ Gold|2.4||||Есть|Есть|Есть|SIP, NLO, OTP, UVP, OCP||7 лет|86x140x150 мм|2 кг||Есть||0-761345-11618-3||||0761345116183|||||
Corsair CX-M Series CP-9020103-EU|650 Вт|ATX|24+8 (4+4) pin|6 шт|4 шт|2 шт|полумодульная||||||||||активная|85 %|1 вентилятор|120 мм||80+ Bronze|2.4||||Есть|Есть|Есть||30 дБ|5 лет|86x150x140 мм||Есть|Есть|2.92||||||||||
Corsair RM White Series CP-9020232-EU|850 Вт|ATX|24+8+8+8 pin|520 мм|450 мм|4 шт|модульная|20 А|20 А|70.8 А|0.3 А|3 А|850 Вт|150 Вт|3.6 Вт|15 Вт|активная|90 %|полупассивная|||80+ Gold|2.4|610 мм|650 мм|600 мм|Есть|Есть|Есть||30 дБ|10 лет|86x150x160 мм|1.65 кг|||||||||||||
2E Master Power -MP750-120APFC|750 Вт|ATX|24+8 (4+4) pin|5 шт|3 шт|4 шт|не модульная|20 А|20 А|55 А|0.3 А|2.5 А|660 Вт|130 Вт|3.6 Вт|12.5 Вт|активная||1 вентилятор|120 мм||80+ White|||||Есть|Есть|Есть|||3 года|86x150x140 мм|1.94 кг|||||||||||||
Antec Neo ECO Gold M NE850G M|850 Вт|ATX|24+8+8(4+4) pin|10 шт|5 шт|6 шт|модульная|20 А|20 А|70 А|0.3 А|2.5 А|840 Вт|100 Вт|3.6 Вт|12.5 Вт|активная|92 %|полупассивная|120 мм||80+ Gold|2.4||||Есть|Есть|Есть|||7 лет|86x150x140 мм|1.38 кг|Есть|||0-761345-11763-0||||0761345117616, 0761345117630|||||
Antec Neo ECO Gold NE500G Zen|500 Вт|ATX|24+8 (4+4) pin|500 мм|500 мм|2 шт|не модульная|18 А|18 А|42 А|0.3 А|2.5 А|504 Вт|100 Вт|3.6 Вт|12.5 Вт|активная|92 %|1 вентилятор|120 мм||80+ Gold|2.4|500 мм|600 мм|500 мм|Есть|Есть|Есть||||86x140x150 мм|1.68 кг||||0-761345-11676-3||||0761345116763|||||
Thermaltake Smart RGB SPR-0500NHSAW|500 Вт|ATX|24+8 (4+4) pin|5 шт|4 шт|2 шт|не модульная|20 А|15 А|35 А|0.5 А|2.5 А|420 Вт|100 Вт|||активная|86 %|1 вентилятор|120 мм||80+|2.3||||Есть|Есть|Есть|||5 лет|86x150x140 мм||Есть||||||||||Есть||
Deepcool Aurora DP-BZ-DA700N|700 Вт|ATX|24+8 (4+4) pin|350 мм|350 мм|4 шт|не модульная|22 А|18 А|54 А|0.3 А|2.5 А|648 Вт|130 Вт|3.6 Вт|12.5 Вт|активная|85 %|1 вентилятор|140 мм|скольжения|80+ Bronze|2.31|450 мм|550 мм|450 мм|Есть|Есть|Есть|||5 лет|86x150x160 мм||Есть||||||||||||
Deepcool Aurora DP-BZ-DA600N|600 Вт|ATX|24+8 (4+4) pin|350 мм|350 мм|4 шт|не модульная|20 А|17 А|46 А|0.3 А|2.5 А|552 Вт|120 Вт|3.6 Вт|12.5 Вт|активная|85 %|1 вентилятор|120 мм|скольжения|80+ Bronze|2.31|450 мм|550 мм|450 мм|Есть|Есть|Есть|||5 лет|86x150x140 мм||||||||||||||
Thermaltake Smart RGB 500W|500 Вт|ATX|24+8 (4+4) pin|5 шт|4 шт|2 шт|не модульная|20 А|15 А|35 А|0.5 А|2.5 А|420 Вт|100 Вт|||активная|86 %|1 вентилятор|120 мм||80+|2.3||||Есть|Есть|Есть|||5 лет|86x150x140 мм||Есть|||SPR-500AH2NK-2||||4711246870451|||Есть||
Seasonic Vertex PX -1200|1200 Вт|ATX|24+8+8(4+4) pin|950 мм|690 мм|3 шт|модульная|25 А|25 А|100 А|0.3 А|3 А|1200 Вт|125 Вт|3.6 Вт|15 Вт|активная|92 %|1 вентилятор|135 мм|гидродинамический|80+ Platinum|3|610 мм|650 мм|750 мм|Есть|Есть|Есть|UVP, OCP, OTP||10 лет|86x150x160 мм||||||||1 шт||||||
Zalman EBT -ZM1000|1000 Вт|ATX|24+8+8(4+4) pin|12 шт|8 шт|6 шт|полумодульная||||||||||активная|92 %|1 вентилятор|140 мм||80+ Gold|2.3||||Есть|Есть|Есть|||5 лет|86x150x180 мм||Есть|Есть|2.92|||||8809213769306|||||
Asus ROG Thor ROG-THOR-850P|850 Вт|ATX|24+8+8(4+4) pin|12 шт|5 шт|4 шт|модульная|20 А|20 А|71 А|0.3 А|3 А|||||активная|90 %|полупассивная|135 мм|качения|80+ Platinum|||||Есть|Есть|Есть|||10 лет|86x150x140 мм|||Есть|||||||||Есть|Asus Aura Sync|
Thermaltake Toughpower GF2 ARGB TTP-750AH3FSG-A|750 Вт|ATX|24+8+8(4+4) pin|500 мм|500 мм|4 шт|модульная|22 А|22 А|62.5 А|0.3 А|2.5 А|750 Вт|120 Вт|3.6 Вт|15 Вт|активная||полупассивная|140 мм|гидродинамический|80+ Gold||600 мм|650 мм|500 мм|Есть|Есть|Есть|OCP, UVP, OTP|28 дБ|10 лет|86x150x160 мм||Есть|||PS-TPD-0750F3FAGE-2|||||||Есть|multi compatibility|
Thermaltake Toughpower Grand Platinum TPG-0650F-P|650 Вт|ATX|24+8 (4+4) pin|8 шт|4 шт|4 шт|модульная||||||||||активная|92 %|1 вентилятор|140 мм||80+ Platinum|2.3||||Есть|Есть|Есть||34 дБ|7 лет|86x150x180 мм||Есть||||||||||||
Antec High Current Gamer Gold HCG750 Gold|750 Вт|ATX|24+8+8(4+4) pin|8 шт|3 шт|4 шт|модульная|20 А|20 А|62 А|0.3 А|3 А|744 Вт|100 Вт|3.6 Вт|15 Вт|активная|92 %|1 вентилятор|120 мм||80+ Gold|2.4||||Есть|Есть|Есть|OCP, UVP, OTP, SIP, NLO||2 года|86x140x150 мм|2.11 кг|Есть|Есть||0-761345-11638-1||||0761345116374, 0761345116381|||||
Antec Neo ECO Gold M NE650G M|650 Вт|ATX|24+8+8(4+4) pin|8 шт|3 шт|4 шт|модульная|20 А|20 А|54 А|0.3 А|2.5 А|648 Вт|100 Вт|3.6 Вт|12.5 Вт|активная|92 %|полупассивная|120 мм||80+ Gold|2.4||||Есть|Есть|Есть|||7 лет|86x150x140 мм|1.3 кг|Есть|||0-761345-11753-1||||0761345117531|||||
Thermaltake Smart BX1 SPD-650AH2NKB|650 Вт|ATX|24+8 (4+4) pin|6 шт|4 шт|2 шт|не модульная||||||||||активная|88 %|1 вентилятор|120 мм||80+ Bronze|2.3||||Есть|Есть|Есть|||5 лет|86x150x140 мм||Есть||2.92||||||||||
Seasonic Vertex GX -1200|1200 Вт|ATX|24+8+8(4+4) pin|950 мм|690 мм|3 шт|модульная|25 А|25 А|100 А|0.3 А|3 А|1200 Вт|125 Вт|3.6 Вт|15 Вт|активная|90 %|1 вентилятор|135 мм|гидродинамический|80+ Gold|3|610 мм|650 мм|750 мм|Есть|Есть|Есть|UVP, OCP, OTP||10 лет|86x150x160 мм||||||||1 шт||||||
