|Мощность|Форм-фактор|Питание MB/CPU|SATA|MOLEX|PCI-E 8pin (6+2)|Система кабелей|+3.3V|+5V|+12V1|-12V|+5Vsb|Мощность +12V|Мощность +3.3V +5V|Мощность -12V|Мощность +5Vsb|Тип PFC|КПД|Система охлаждения|Диаметр вентилятора|Тип подшипника|Сертификат|Стандарт ATX 12В v.|MB|CPU|PCI-E|Защита от перенапряжения (OVP)|Защита от избыточного тока (OPP)|Защита от короткого замыкания (SCP)|Безопасность|Уровень шума|Гарантия производителя|Габариты (ВхШхГ)|Вес|Floppy|Провода в оплетке|Стандарт EPS 12В v.|Маркировка производителя|PCI-E 6pin|+12V2|PCI-E 16pin|Код EAN / UPS / GTIN|+12V3|+12V4|Подсветка|Синхронизация подсветки|PCI-E 8pin
Gamemax GM Series GM-600|600 Вт|ATX|24+8 (4+4) pin|6 шт|3 шт|2 шт|полумодульная|18 А|18 А|20 А|0.5 А|2.5 А|480 Вт|115 Вт|||активная|85 %|1 вентилятор|139 мм||80+|2.3||||Есть|Есть|Есть||||86x150x140 мм|2.71 кг||Есть||||20 А|||||||
Thermaltake Smart BX1 SPD-750AH2NKB|750 Вт|ATX|24+8 (4+4) pin|8 шт|4 шт|4 шт|не модульная||||||||||активная|88 %|1 вентилятор|120 мм||80+ Bronze|2.3||||Есть|Есть|Есть|||5 лет|86x150x140 мм||Есть||2.92|||||4711246875289|||||
Seasonic CORE GX -500|500 Вт|ATX|24+8 (4+4) pin|810 мм|690 мм|2 шт|модульная|20 А|20 А|41 А|0.3 А|3 А|492 Вт|100 Вт|3.6 Вт|15 Вт|активная|90 %|1 вентилятор|120 мм||80+ Gold||610 мм|650 мм|750 мм|Есть|Есть|Есть|OCP, OTP, UVP||7 лет|86x150x140 мм|||||SSR-500LX|||||||||
Chieftec Photon CTG-650C-RGB|650 Вт|ATX|24+8 (4+4) pin|6 шт|4 шт|4 шт|полумодульная||||||||||активная|85 %|1 вентилятор|120 мм||без 80+|2.3||||Есть|Есть|Есть|||2 года|87x150x140 мм|2.14 кг|Есть|Есть|||||||||Есть|multi compatibility|
EVGA GQ 1000|1000 Вт|ATX|24+8+8(4+4) pin|550 мм|550 мм|10 шт|полумодульная|24 А|24 А|83.3 А|0.5 А|3 А|1000 Вт|120 Вт|6 Вт|15 Вт|активная|92 %|1 вентилятор|135 мм|гидродинамический|80+ Gold||600 мм|650 мм|650 мм|Есть|Есть|Есть|||5 лет|85x150x180 мм||Есть|||210-GQ-1000-V2|||||||||
Thermaltake Toughpower GF1 TTP-1000AH3FCG|1000 Вт|ATX|24+8+8(4+4) pin|500 мм|500 мм|6 шт|модульная|24 А|24 А|83.3 А|0.5 А|3 А|1000 Вт|120 Вт|6 Вт|15 Вт|активная|90 %|полупассивная|140 мм|гидродинамический|80+ Gold||600 мм|650 мм|500 мм|Есть|Есть|Есть|OCP, UVP, OTP|||86x150x160 мм|1.8 кг|Есть|||PS-TPD-1000FNFAGE-1|||||||||
NZXT C Series Bronze 2022 C750 Bronze|750 Вт|ATX|24+8+8(4+4) pin|6 шт|3 шт|6 шт|полумодульная|20 А|20 А|62.5 А|||||||активная|87 %|1 вентилятор|120 мм|гидродинамический|80+ Bronze|2.4|550 мм|||Есть|Есть|Есть|||5 лет|86x150x140 мм|||Есть|2.92|PA-7B1BB-EU, PA-7B1BB-UK, PA-7B1BB-US|||||||||
Fractal Design Integra M FD-PSU-IN3B-550W|550 Вт|ATX|24+8 (4+4) pin|5 шт|2 шт|2 шт|полумодульная||||||||||активная||1 вентилятор|120 мм||80+ Bronze|2.4||||Есть|Есть|Есть|||3 года|150x86x140 мм|1.5 кг||Есть|2.92||||||||||
Gamemax VP Gamer Modular VP-500-RGB-M|500 Вт|ATX|24+8 (4+4) pin|4 шт|3 шт|1 шт|полумодульная|15 А|15 А|34 А|0.5 А|2.5 А|408 Вт|100 Вт|6 Вт|12.5 Вт|активная|85 %|полупассивная|120 мм||80+|2.31|500 мм|600 мм|400 мм|Есть|Есть|Есть|UVP, OCP, OTP||1 год|86x150x140 мм||||||||||||||
MSI MPG GF A750GF WHITE|750 Вт|ATX|24+8+8(4+4) pin|950 мм|1100 мм|6 шт|модульная|22 А|22 А|35 А|0.3 А|2.5 А|750 Вт|120 Вт|||активная|90 %|1 вентилятор|140 мм|гидродинамический|80+ Gold||600 мм|700 мм|500 мм|Есть|Есть|Есть|OCP, OTP, UVP||10 лет|86x150x160 мм||Есть|||||35 А||4719072922672|||||
Gamemax VP Gamer RGB VP-350-RGB|350 Вт|ATX|24+8 (4+4) pin|2 шт|2 шт||не модульная|15 А|15 А|22 А|0.5 А|2 А|264 Вт|90 Вт|6 Вт|10 Вт|активная|75 %|полупассивная|120 мм||без 80+|2.31|500 мм|600 мм|400 мм|Есть|Есть|Есть|UVP, OCP, OTP||2 года|86x150x140 мм|||Есть|||||||||Есть||
X-Game Shadow Power Shadow 400W|400 Вт|ATX|24+8 (4+4) pin|3 шт|2 шт||не модульная|15 А|24 А|29 А|0.3 А|2.5 А|360 Вт|130 Вт|9.6 Вт|12.5 Вт|||1 вентилятор|120 мм||без 80+||||||||||1 год|86x150x140 мм|1 кг|||||1 шт||||||||
Thermaltake Toughpower GF1 TTP-850AH3FCG|850 Вт|ATX|24+8+8(4+4) pin|12 шт|4 шт|6 шт|модульная|22 А|22 А|70.9 А|0.3 А|3 А|850 Вт|120 Вт|3.6 Вт|15 Вт|активная|90 %|полупассивная|140 мм||80+ Gold|||||Есть|Есть|Есть|OCP, UVP, OTP|||86x150x160 мм||Есть||||||||||||
Seasonic PRIME GX -750|750 Вт|ATX|24+8+8(4+4) pin|8 шт|3 шт|4 шт|модульная|20 А|20 А|62 А|0.3 А|3 А|744 Вт|100 Вт|0.3 Вт|15 Вт|активная|94 %|полупассивная|135 мм||80+ Gold|2.4||||Есть|Есть|Есть|UVP, OCP, OTP||12 лет|86x150x140 мм||Есть|Есть||SSR-750GD2|||||||||
Seasonic RS ATX SSP-850RS|850 Вт|ATX|24+8+8(4+4) pin|600 мм|700 мм|6 шт|не модульная|20 А|35 А|70 А|0.3 А|3.5 А|840 Вт|200 Вт|3.6 Вт|12.5 Вт|активная|90 %|1 вентилятор|80 мм|качения|80+ Gold|2.3|550 мм|550 мм|650 мм|Есть|Есть|Есть|||3 года|86x150x160 мм||Есть||||||||||||
